湖南,#genre#
CCTV-6,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8
CCTV-7,http://111.23.232.117:80/000000001000/1000000001000017218/1.m3u8
CCTV-7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/main.m3u8
CCTV-7,http://211.137.115.110:8080/gitv_live/G_CCTV--7-HD/G_CCTV--7-HD.m3u8
CCTV-7,http://223.110.241.137:6610/gitv/live1/G_CCTV--7-HQ/G_CCTV--7-HQ/.m3u8
CCTV-7,http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8
CCTV-8,http://111.23.232.117:80/000000001000/1000000001000003736/1.m3u8
CCTV-8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/main.m3u8
CCTV-8,http://211.137.115.110:8080/gitv_live/G_CCTV--8-HD/G_CCTV--8-HD.m3u8
CCTV-8,http://223.110.241.137:6610/gitv/live1/G_CCTV--8/G_CCTV--8/.m3u8
CCTV-8,http://223.110.241.137:6610/gitv/live1/G_CCTV--8-CQ/G_CCTV--8-CQ/.m3u8
CCTV-8,http://223.110.241.137:6610/gitv/live1/G_CCTV--8-HQ/G_CCTV--8-HQ/.m3u8
CCTV-8,http://39.134.240.3/PLTV/2/224/3221225821/index.m3u8
CCTV-9,http://183.215.102.57:8089/180000001001/00000001000000000008000000047438/main.m3u8
CCTV-9,http://211.137.115.110:8080/gitv_live/G_CCTV--9-HD/G_CCTV--9-HD.m3u8
CCTV-9,http://223.110.241.137:6610/gitv/live1/G_CCTV--9/G_CCTV--9/.m3u8
CCTV-9,http://39.134.240.3/PLTV/2/224/3221225819/index.m3u8
CCTV-10,http://111.23.232.117:80/000000001000/1000000001000026367/1.m3u8
CCTV-10,http://183.215.102.57:8089/180000001001/00000001000000000008000000047439/main.m3u8
CCTV-10,http://211.137.115.110:8080/gitv_live/G_CCTV--10-HD/G_CCTV--10-HD.m3u8
CCTV-10,http://223.110.241.137:6610/gitv/live1/G_CCTV--10-HQ/G_CCTV--10-HQ/.m3u8
CCTV-10,http://39.134.240.3/PLTV/2/224/3221225817/index.m3u8
CCTV-11,http://111.23.232.117:80/000000001000/1000000002000019789/1.m3u8
CCTV-11,http://183.215.102.57:8089/180000001001/00000001000000000026000000446966/main.m3u8
CCTV-11,http://211.137.115.110:8080/gitv_live/CCTV--11/CCTV--11.m3u8
